movieID	title	avgRating	numRating
1178	Paths of Glory	4.541666666666667	12
1217	Ran	4.433333333333334	15
86781	Incendies	4.4	5
3153	7th Voyage of Sinbad, The	4.4	5
85342	Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro)	4.357142857142857	7
2202	Lifeboat	4.357142857142857	7
1927	All Quiet on the Western Front	4.35	10
93838	The Raid: Redemption	4.333333333333333	9
8132	Gladiator	4.333333333333333	9
171763	Baby Driver	4.333333333333333	9
7156	Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The	4.3076923076923075	13
1209	Once Upon a Time in the West (C'era una volta il West)	4.305555555555555	18
27156	Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni)	4.3	5
1204	Lawrence of Arabia	4.3	45
55721	Elite Squad (Tropa de Elite)	4.3	10
26131	Battle of Algiers, The (La battaglia di Algeri)	4.3	5
5747	Gallipoli	4.285714285714286	7
170705	Band of Brothers	4.285714285714286	7
168252	Logan	4.28	25
2959	Fight Club	4.272935779816514	218
750	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	4.268041237113402	97
3508	Outlaw Josey Wales, The	4.25	18
1267	Manchurian Candidate, The	4.25	30
2436	Tea with Mussolini	4.25	6
58559	Dark Knight, The	4.238255033557047	149
1197	Princess Bride, The	4.232394366197183	142
260	Star Wars: Episode IV - A New Hope	4.231075697211155	251
3030	Yojimbo	4.230769230769231	13
527	Schindler's List	4.225	220
3275	Boondock Saints, The	4.22093023255814	43
1208	Apocalypse Now	4.219626168224299	107
1196	Star Wars: Episode V - The Empire Strikes Back	4.2156398104265405	211
1233	Boot, Das (Boat, The)	4.2125	40
1198	Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)	4.2075	200
73323	Girl Who Kicked the Hornet's Nest, The (Luftslottet som sprängdes)	4.2	5
2571	Matrix, The	4.192446043165468	278
4967	No Man's Land	4.1923076923076925	13
2019	Seven Samurai (Shichinin no samurai)	4.1875	48
908	North by Northwest	4.184210526315789	57
1242	Glory	4.170731707317073	41
356	Forrest Gump	4.164133738601824	329
122926	Untitled Spider-Man Reboot	4.15625	16
5690	Grave of the Fireflies (Hotaru no haka)	4.15625	16
3681	For a Few Dollars More (Per qualche dollaro in più)	4.151515151515151	33
2324	Life Is Beautiful (La Vita è bella)	4.1477272727272725	88
6016	City of God (Cidade de Deus)	4.1466666666666665	75
2028	Saving Private Ryan	4.1462765957446805	188
1201	Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)	4.145833333333333	72
2067	Doctor Zhivago	4.142857142857143	21
168248	John Wick: Chapter Two	4.142857142857143	7
1210	Star Wars: Episode VI - Return of the Jedi	4.137755102040816	196
68157	Inglourious Basterds	4.136363636363637	88
3836	Kelly's Heroes	4.133333333333334	15
1281	Great Dictator, The	4.133333333333334	15
