userID	avgRating
53	5.0
251	4.869565217391305
515	4.846153846153846
25	4.8076923076923075
30	4.735294117647059
523	4.693333333333333
348	4.672727272727273
171	4.634146341463414
452	4.556930693069307
43	4.552631578947368
371	4.548780487804878
122	4.546232876712328
441	4.522222222222222
400	4.511627906976744
52	4.476923076923077
538	4.472972972972973
168	4.462765957446808
417	4.462686567164179
543	4.453947368421052
106	4.4393939393939394
319	4.428571428571429
601	4.425742574257426
413	4.410714285714286
475	4.409677419354839
188	4.395833333333333
12	4.390625
276	4.390243902439025
154	4.382352941176471
533	4.381578947368421
581	4.375
69	4.369565217391305
1	4.366379310344827
586	4.365384615384615
128	4.363636363636363
544	4.363636363636363
59	4.355140186915888
253	4.351063829787234
459	4.346153846153846
553	4.337349397590361
585	4.336065573770492
519	4.326923076923077
70	4.32258064516129
336	4.321428571428571
435	4.321428571428571
300	4.296875
93	4.288659793814433
532	4.28
74	4.271186440677966
49	4.261904761904762
80	4.2604790419161676
224	4.2592592592592595
291	4.258064516129032
246	4.252450980392157
164	4.25
398	4.25
169	4.24907063197026
362	4.243119266055046
209	4.242857142857143
162	4.2368421052631575
494	4.2272727272727275
250	4.222222222222222
340	4.214285714285714
573	4.212374581939799
17	4.20952380952381
337	4.207792207792208
79	4.203125
227	4.202127659574468
460	4.201219512195122
258	4.2
595	4.2
252	4.197368421052632
97	4.194444444444445
364	4.190476190476191
526	4.189655172413793
505	4.17741935483871
119	4.176744186046512
267	4.175438596491228
296	4.166666666666667
465	4.156521739130435
491	4.15625
72	4.155555555555556
458	4.1525423728813555
547	4.142857142857143
37	4.142857142857143
290	4.142322097378277
29	4.1419753086419755
243	4.138888888888889
568	4.130434782608695
221	4.126888217522659
511	4.125
572	4.122580645161291
443	4.121621621621622
472	4.120689655172414
527	4.119760479041916
439	4.119047619047619
389	4.117647058823529
105	4.116343490304709
407	4.113636363636363
584	4.108433734939759
421	4.108108108108108
550	4.107142857142857
327	4.104166666666667
189	4.1
201	4.1
548	4.096153846153846
562	4.093073593073593
408	4.092198581560283
178	4.090909090909091
35	4.086956521739131
275	4.086848635235732
415	4.085106382978723
62	4.081967213114754
210	4.079710144927536
186	4.079646017699115
556	4.078125
90	4.074074074074074
166	4.073684210526316
339	4.070080862533692
376	4.06390977443609
537	4.0638297872340425
95	4.0625
410	4.059880239520958
343	4.059322033898305
498	4.057142857142857
176	4.055555555555555
61	4.051282051282051
192	4.045454545454546
206	4.04
88	4.035714285714286
123	4.035714285714286
282	4.033755274261603
48	4.03030303030303
65	4.029411764705882
239	4.026881720430108
582	4.026785714285714
589	4.025
152	4.023809523809524
356	4.02076124567474
66	4.0202898550724635
486	4.017857142857143
326	4.016447368421052
495	4.009433962264151
405	4.008333333333334
569	4.0
46	4.0
39	4.0
273	4.0
450	4.0
302	4.0
378	4.0
540	4.0
554	4.0
77	4.0
124	3.99
108	3.986842105263158
429	3.9827586206896552
254	3.9803149606299213
241	3.9802631578947367
137	3.978723404255319
597	3.9774266365688487
587	3.9757575757575756
579	3.9726027397260273
67	3.9722222222222223
236	3.966666666666667
220	3.963768115942029
578	3.962962962962963
285	3.9583333333333335
204	3.9578313253012047
357	3.9569190600522193
397	3.9565217391304346
574	3.9565217391304346
87	3.9523809523809526
366	3.9516129032258065
