\N	\N	\N	0
1996-03-29	Fri	3.9827586206896552	58
1996-04-12	Fri	4.333333333333333	9
1996-04-17	Wed	3.7411764705882353	85
1996-04-18	Thu	3.8679245283018866	53
1996-04-23	Tue	3.0555555555555554	18
1996-05-01	Wed	4.086956521739131	23
1996-05-06	Mon	3.393939393939394	33
1996-05-12	Sun	3.488888888888889	90
1996-05-13	Mon	3.76	25
1996-05-14	Tue	3.5973451327433628	226
1996-05-18	Sat	3.315315315315315	111
1996-05-20	Mon	3.5357142857142856	28
1996-05-21	Tue	3.8181818181818183	77
1996-05-22	Wed	3.6315789473684212	38
1996-05-23	Thu	3.48	75
1996-05-31	Fri	3.1792452830188678	106
1996-06-06	Thu	3.6	35
1996-06-08	Sat	2.9545454545454546	44
1996-06-10	Mon	2.9767441860465116	43
1996-06-13	Thu	3.359550561797753	89
1996-06-14	Fri	3.8625	80
1996-06-15	Sat	3.0	2
1996-06-16	Sun	4.0	1
1996-06-17	Mon	3.914473684210526	152
1996-06-18	Tue	4.086956521739131	23
1996-06-22	Sat	3.4081632653061225	49
1996-06-23	Sun	3.2598425196850394	127
1996-06-24	Mon	3.3908045977011496	87
1996-06-26	Wed	3.8363636363636364	55
1996-06-27	Thu	3.6315789473684212	95
1996-06-30	Sun	3.0	1
1996-07-01	Mon	3.0	2
1996-07-03	Wed	3.456140350877193	57
1996-07-04	Thu	4.28125	32
1996-07-05	Fri	5.0	1
1996-07-06	Sat	3.6666666666666665	6
1996-07-08	Mon	2.3333333333333335	3
1996-07-09	Tue	3.627450980392157	51
1996-07-10	Wed	3.871794871794872	78
1996-07-12	Fri	4.138888888888889	36
1996-07-13	Sat	5.0	1
1996-07-14	Sun	3.5851063829787235	94
1996-07-21	Sun	3.814814814814815	27
1996-07-23	Tue	3.6	35
1996-07-25	Thu	3.5	2
1996-07-26	Fri	3.4	60
1996-07-29	Mon	3.75	4
1996-08-01	Thu	3.8157894736842106	38
1996-08-02	Fri	3.159090909090909	44
1996-08-04	Sun	4.057142857142857	35
1996-08-06	Tue	3.3380281690140845	71
1996-08-08	Thu	3.8155339805825244	103
1996-08-09	Fri	4.0	1
1996-08-12	Mon	2.75	4
1996-08-13	Tue	3.0	15
1996-08-15	Thu	4.055555555555555	36
1996-08-17	Sat	3.1052631578947367	57
1996-08-18	Sun	3.44	25
1996-08-19	Mon	3.24	25
1996-08-21	Wed	3.4	5
1996-08-24	Sat	3.5085714285714285	175
1996-08-27	Tue	3.2288135593220337	118
1996-08-28	Wed	3.0	3
1996-08-29	Thu	3.217948717948718	78
